,User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,75339,3442726875,8,Wasser und Blut.,Patrick McGrath,2000,Btb Bei Goldmann
1,250709,0399151397,5,The Hanged Man's Song,John Sandford,2003,G. P. Putnam's Sons
2,250709,1562011065,5,The Captive V: The Soundproof Dream (Captive),Richard Manton,1999,Blue Moon Books
3,250709,0812543890,5,Exposure,R. J. Pineiro,1998,Forge Books
4,250709,0425147584,5,Debt of Honor (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
5,250709,0425151875,5,Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,1996,Berkley Publishing Group
6,250709,0425165701,5,Ruthless.Com (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1998,Berkley Publishing Group
7,250709,0425171396,5,"Hidden Agendas (Tom Clancy's Net Force, No. 2)",Tom Clancy,1999,Berkley Publishing Group
8,250709,0425147363,5,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
9,250709,0312263120,5,Digital Fortress : A Thriller,Dan Brown,2000,St. Martin's Griffin
10,250709,0425135020,5,The Empress File,John Sandford,2001,Berkley Publishing Group
11,259114,0517880571,9,Catlore,Desmond Morris,1993,Random House Inc
12,259114,006278191X,9,Birnbaum's 95 Germany (Birnbaum Travel Guides),Alexandra Mayes Birnbaum,1994,Harpercollins
13,146113,0525944974,9,"A Separate Place: A Family, a Cabin in the Woods, and a Journey of Love and Spirit",David Brill,2000,Dutton Books
14,146113,0894809997,8,Children's Letters to God,Stuart Hample,1991,Workman Publishing
15,146113,0440234727,8,The Loner,Joan Johnston,2002,Dell Publishing Company
16,146113,0590568795,5,"Egg Monsters from Mars (Goosebumps, No 42)",R. L. Stine,1996,Scholastic
17,146113,0740704818,8,The Blue Day Book,Bradley Trevor Greive,2000,Andrews McMeel Publishing
18,146113,0446610542,8,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever
19,146113,0553280368,8,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
20,146113,0446604658,7,Lucky You,Carl Hiaasen,1998,Warner Vision
21,146113,0553574663,9,The Grilling Season,Diane Mott Davidson,1998,Bantam Books
22,146113,0671534718,6,Melody (Logan),V.C. Andrews,1996,Pocket
23,146113,0821766570,5,The Guest List,Fern Michaels,2000,Zebra Books
24,146113,0142000892,7,Miss Julia Takes over,Ann B. Ross,2002,Penguin Books
25,146113,0553574639,10,The Main Corpse (Culinary Mysteries (Paperback)),Diane Mott Davidson,1997,Bantam Books
26,55490,1567187447,8,Tetragrammaton: The Secret to Evoking Angelic Powers and the Key to the Apocalypse (Llewellyn's High Magick Series),Donald Tyson,1995,Llewellyn Pubns
27,55490,0821729551,9,Daddy's Girl: The Campbell Murder Case,Clifford Irving,1990,Kensington Pub Corp (Mm)
28,55490,0064929787,10,The early Greeks,R. J Hopper,1977,Barnes &amp; Noble
29,55490,0688124089,10,"Shadow of a Dark Queen (The Serpentwar Saga, Vol 1)",Raymond E. Feist,1994,Harpercollins
30,55490,0933635559,10,Cthulhu by Gaslight: Horror Roleplaying in the 1890's (Call of Cthulhu Roleplaying Game Series),William A. Barton,1988,"Chaosium, Inc."
31,55490,0131867199,10,Double Your Brain Power: Increase Your Memory by Using All of Your Brain All the Time,Jean Marie Stine,1997,Prentice Hall
32,55490,0451156609,8,The Tommyknockers,Stephen King,1994,Signet Book
33,55490,038529929X,10,Hannibal,Thomas Harris,1999,Del Sol Press
34,55490,0345313860,10,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
35,55490,0452278902,9,The Green Mile: The Complete Serial Novel,Stephen King,1997,Plume Books
36,55490,0446350982,5,Presumed Innocent,Scott Turow,1988,Warner Books
37,55490,0805062971,10,Fight Club,Chuck Palahniuk,1999,Owl Books
38,55490,0553277472,9,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam
39,55490,0451160525,10,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994,New American Library
40,55490,0345384210,10,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,Del Rey Books
41,55490,0679454497,10,Blood and Gold (Vampire Chronicles),Anne Rice,2001,Alfred A. Knopf
42,55490,0060929871,9,Brave New World,Aldous Huxley,1998,Perennial
43,55490,0446611212,9,Violets Are Blue,James Patterson,2002,Warner Vision
44,55490,0451173317,10,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,1997,Signet Book
45,55490,0836213122,10,There's Treasure Everywhere--A Calvin and Hobbes Collection,Bill Watterson,1996,Andrews McMeel Publishing
46,55490,0425147517,8,The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group
47,55490,0425104346,10,Darkfall,Dean R. Koontz,1996,Berkley Publishing Group
48,55490,0425145638,5,Fatal Cure,Robin Cook,1997,Berkley Publishing Group
49,55490,0345409671,9,"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,1997,Ballantine Books
50,107784,0449243672,5,Ninja,Lustbader Eric V,1982,Ballantine Books
51,107784,088166247X,10,The Very Best Baby Name Book in the Whole Wide World,Bruce Lansky,1995,Meadowbrook Press
52,107784,0373261829,5,Snowjob,Ted Wood,1995,Worldwide Library
53,107784,067100395X,5,Broken Wings (Mindhunters),John Douglas,2001,Pocket
54,107784,0373030401,5,"Rumor Has It (Harlequin Romance, 3040)",Prue Scott,1990,Harlequin
55,107784,0373825129,4,Tyler 12: Loveknot (Tyler No. 12),Marisa Carroll,1993,Harlequin
56,107784,0786012633,7,Buried Memories,Irene Pence,2001,Pinnacle Books
57,107784,0451165675,5,A Woman Named Jackie,C. David Heymann,1991,New American Library
58,107784,0449223213,5,The Devilish Earl,Rachelle Edwards,1994,Fawcett Books
59,107784,0373027923,5,"Impressions (Harlequin Romance, No 2792)",Tracy Hughes,1986,Harlequin
60,107784,037319546X,5,"Missing Maitland (Maitland Maternity: Prodigal Children) (Silhouette Romance, No. 1546)",Stella Bagwell,2001,Silhouette
61,107784,0874060079,5,Six Months to Live,McDaniel,1985,Pages Publishing Group
62,107784,0373116764,5,"Sudden Fire (Postcards From Europe) (Harlequin Presents, No 1676)",Elizabeth Oldfield,1994,Harlequin
63,107784,067084148X,5,Trouble,Fay Weldon,1993,Penguin USA
64,107784,0679761837,5,A Natural History of Love,Diane Ackerman,1995,Vintage Books USA
65,107784,0453010164,5,Weight Watchers Quick Success Program Cookbook,Jean Nidetch,1989,Penguin USA
66,107784,0812541642,6,Waiting,Frank M. Robinson,2000,Tor Books
67,107784,0385309198,5,Legacy of Secrets,Elizabeth Adler,1993,Bantam Dell Pub Group
68,107784,0385504209,10,The Da Vinci Code,Dan Brown,2003,Doubleday
69,107784,0515123447,5,Killing Floor,Lee Child,1998,Jove Books
70,107784,0842329277,5,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers
